Emotion Lexemes,Emotion Family,Basic Emotions
defends,defensiveness,anger
defending,defensiveness,anger
defend,defensiveness,anger
defensivenesses,defensiveness,anger
defensively,defensiveness,anger
defensive,defensiveness,anger
defended,defensiveness,anger
defensiveness,defensiveness,anger
deflated,deflatation,sadness
deflates,deflatation,sadness
deflate,deflatation,sadness
deflating,deflatation,sadness
deflator,deflatation,sadness
deflationary,deflatation,sadness
degrade,degraded,sadness
degraded,degraded,sadness
degrading,degraded,sadness
degradation,degraded,sadness
degrades,degraded,sadness
dejecting,dejection,sadness
dejected,dejection,sadness
dejects,dejection,sadness
dejectedly,dejection,sadness
dejection,dejection,sadness
delights,delight,enjoyment
delighted,delight,enjoyment
delightful,delight,enjoyment
delightedly,delight,enjoyment
delightfulness,delight,enjoyment
delight,delight,enjoyment
delighting,delight,enjoyment
demoralizing,demoralization,sadness
demoralizations,demoralization,sadness
demoralization,demoralization,sadness
demoralize,demoralization,sadness
demoralizes,demoralization,sadness
demoralized,demoralization,sadness
depresses,depression,sadness
depress,depression,sadness
depressed,depression,sadness
depressingly,depression,sadness
depressions,depression,sadness
depressing,depression,sadness
depressant,depression,sadness
depression,depression,sadness
depressive,depression,sadness
desired,desire,enjoyment
desirability,desire,enjoyment
desirably,desire,enjoyment
desiring,desire,enjoyment
desirous,desire,enjoyment
desires,desire,enjoyment
desire,desire,enjoyment
desolated,desolation,sadness
desolating,desolation,sadness
desolate,desolation,sadness
desolation's,desolation,sadness
desolates,desolation,sadness
desolation,desolation,sadness
despairs,despair,sadness
despairing,despair,sadness
despaired,despair,sadness
despair,despair,sadness
despairingly,despair,sadness
desperately,desperation,sadness
desperate,desperation,sadness
desperateness,desperation,sadness
desperation,desperation,sadness
despised,despise,anger
despising,despise,anger
despises,despise,anger
despiser,despise,anger
despisingly,despise,anger
despise,despise,anger
desponded,despondence,sadness
despondent,despondence,sadness
despond,despondence,sadness
desponding,despondence,sadness
despondently,despondence,sadness
despondence,despondence,sadness
devastator,devastation,sadness
devastating,devastation,sadness
devastates,devastation,sadness
devastatingly,devastation,sadness
devastated,devastation,sadness
devastate,devastation,sadness
devastation,devastation,sadness
devotees,devotion,enjoyment
devotionally,devotion,enjoyment
devote,devotion,enjoyment
devoted,devotion,enjoyment
devoting,devotion,enjoyment
devotion,devotion,enjoyment
disappointment,disappointment,sadness
disappoint,disappointment,sadness
disappoints,disappointment,sadness
disappointed,disappointment,sadness
disappointments,disappointment,sadness
disappointing,disappointment,sadness
disapproving,disapproval,disgust
disapprove,disapproval,disgust
disapprovingly,disapproval,disgust
disapproved,disapproval,disgust
disapproves,disapproval,disgust
disapproval,disapproval,disgust
discomfiting,discomfit,surprise
discomfits,discomfit,surprise
discomfited,discomfit,surprise
discomfit,discomfit,surprise
disconcerts,disconcertment,surprise
disconcertedly,disconcertment,surprise
disconcerting,disconcertment,surprise
disconcert,disconcertment,surprise
disconcerted,disconcertment,surprise
disconcertment,disconcertment,surprise
disconsolate,disconsolateness,sadness
disconsolateness,disconsolateness,sadness
disconsolation,disconsolateness,sadness
disconsolately,disconsolateness,sadness
discontented,discontentment,sadness
discontents,discontentment,sadness
discontentedly,discontentment,sadness
discontenting,discontentment,sadness
discontent,discontentment,sadness
discontentment,discontentment,sadness
discourages,discouragement,sadness
discouraged,discouragement,sadness
discourage,discouragement,sadness
discouragements,discouragement,sadness
discouraging,discouragement,sadness
discouragement,discouragement,sadness
disdainfully,disdain,disgust
disdains,disdain,disgust
disdaining,disdain,disgust
disdainful,disdain,disgust
disdained,disdain,disgust
disdain,disdain,disgust
disgraceful,disgrace,sadness
disgrace,disgrace,sadness
disgraces,disgrace,sadness
disgracing,disgrace,sadness
disgracefully,disgrace,sadness
disgraced,disgrace,sadness
disgruntling,disgruntlement,anger
disgruntles,disgruntlement,anger
disgruntle,disgruntlement,anger
